iter	RMSE
0	51.16752159
1	51.06325608
2	51.0150095
3	50.93576427
4	50.81373284
5	50.70671312
6	50.62623643
7	50.54183562
8	50.41561999
9	50.30866927
10	50.23506301
11	50.16427733
12	50.09213898
13	49.96608621
14	49.90859325
15	49.85567605
16	49.77505419
17	49.68165288
18	49.58977196
19	49.50447058
20	49.40354116
21	49.34515687
22	49.23349321
23	49.18934593
24	49.09706251
25	49.02246919
26	48.98118404
27	48.92608095
28	48.86077369
29	48.80462741
30	48.75445204
31	48.7458292
32	48.67281725
33	48.61490473
34	48.57072676
35	48.52756073
36	48.47571048
37	48.44511453
38	48.40932253
39	48.32592102
40	48.26615002
41	48.22689576
42	48.18516501
43	48.10589229
44	48.069925
45	47.99338357
46	47.96129366
47	47.91509731
48	47.86714839
49	47.80083469
50	47.76144888
51	47.71269726
52	47.68314238
53	47.65222941
54	47.61424782
55	47.54317853
56	47.51001978
57	47.4730869
58	47.43602138
59	47.38201911
60	47.34658821
61	47.31094889
62	47.27964055
63	47.24358173
64	47.18489882
65	47.12222663
66	47.07464434
67	47.01978381
68	46.96735347
69	46.95156886
70	46.92071099
71	46.87564931
72	46.81998549
73	46.80561773
74	46.79233505
75	46.77661561
76	46.73672521
77	46.70384607
78	46.67386769
79	46.63782481
80	46.59740798
81	46.58135073
82	46.55706539
83	46.52287355
84	46.49398129
85	46.40086715
86	46.36893751
87	46.31847475
88	46.29408284
89	46.26900301
90	46.19935778
91	46.16737759
92	46.15116127
93	46.10836453
94	46.08055926
95	46.06028058
96	46.04603938
97	46.02078126
98	45.97510277
99	45.93440108
